sort_key,arch,backend,build_rev,format,name,platform,type,url,ver,ver_with_build_rev,padding
2021.07.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.07-01-macos-x86_64-clang.tar.gz,2021.07,2021.07-01,
2021.07.01-macos-arm64,arm64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.07-01-macos-arm64-clang.tar.gz,2021.07,2021.07-01,
2021.07.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.07-01-linux-x86_64-gcc.tar.gz,2021.07,2021.07-01,
2021.06.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.06-01-win-x86_64-msvc.zip,2021.06,2021.06-01,
2021.06.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.06-01-macos-x86_64-clang.tar.gz,2021.06,2021.06-01,
2021.06.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.06-01-linux-x86_64-gcc.tar.gz,2021.06,2021.06-01,
2021.05.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.05-01-win-x86_64-msvc.zip,2021.05,2021.05-01,
2021.05.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.05-01-macos-x86_64-clang.tar.gz,2021.05,2021.05-01,
2021.05.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.05-01-linux-x86_64-gcc.tar.gz,2021.05,2021.05-01,
2021.04.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.04-01-win-x86_64-msvc.zip,2021.04,2021.04-01,
2021.04.01-macos-x86_64,x86_64,moar,1,tar.gz,rakudo,macos,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.04-01-macos-x86_64-clang.tar.gz,2021.04,2021.04-01,
2021.04.01-linux-x86_64,x86_64,moar,1,tar.gz,rakudo,linux,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.04-01-linux-x86_64-gcc.tar.gz,2021.04,2021.04-01,
2021.03.01-win-x86_64,x86_64,moar,1,zip,rakudo,win,archive,https://rakudo.org/dl/rakudo/rakudo-moar-2021.03-01-win-x86_64-msvc.zip,2021.03,2021.03-01,
